SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1428 NW Highland,Corvallis,OR,97330,285000,3,2.0,Gather coal,1300,8712,1954,1,219,,Active,,,http://www.redfin.com/OR/Corvallis/1428-NW-Highland-Dr-97330/home/25916482,WVMLS,731945,N,Y,44.5803377,-123.2628177
MLS Listing,,Single Family Residential,925 NW Buchanan,Corvallis,OR,97330-6040,319000,3,2.0,Corvallis,1602,9148,1954,2,199,,Active,,,http://www.redfin.com/OR/Corvallis/925-NW-Buchanan-Ave-97330/home/25929393,WVMLS,730804,N,Y,44.5758808,-123.263038
MLS Listing,,Single Family Residential,1230 NW Garfield,Corvallis,OR,97330-2056,365000,4,2.0,Gathercoal,2344,10019,1957,3,156,,Active,,,http://www.redfin.com/OR/Corvallis/1230-NW-Garfield-Ave-97330/home/25894251,WVMLS,730658,N,Y,44.5828587,-123.266161
MLS Listing,,Single Family Residential,1650 NW Highland,Corvallis,OR,97330-2020,315000,3,2.0,Gathercoal 2nd,1301,8276,1963,11,242,,Active,,,http://www.redfin.com/OR/Corvallis/1650-NW-Highland-Dr-97330/home/25901884,WVMLS,730935,N,Y,44.5844142,-123.2628351
MLS Listing,,Single Family Residential,217 NE Rennie,Corvallis,OR,97330,175000,2,1.0,Corvallis,1032,4792,1950,872,170,,Active,,,http://www.redfin.com/OR/Corvallis/217-NE-Rennie-Pl-97330/home/25727550,WVMLS,698079,N,Y,44.5739961,-123.2544288
PAST SALE,November-17-2017,Single Family Residential,1209 NW 19th,Corvallis,OR,97330-2625,308350,2,1.0,Tinkham Tracks Annex,1040,9148,1950,149,296,,Sold,,,http://www.redfin.com/OR/Corvallis/1209-NW-19th-St-97330/home/25917438,WVMLS,724324,N,Y,44.5775239,-123.2728753
PAST SALE,September-4-2017,Single Family Residential,1650 NW 13th,Corvallis,OR,97330,336000,5,2.0,Corvallis,1518,10019,1962,223,221,,Sold,,,http://www.redfin.com/OR/Corvallis/1650-NW-13th-St-97330/home/25893935,WVMLS,721887,N,Y,44.5847367,-123.2673977
PAST SALE,June-14-2017,Single Family Residential,1838 NW Grant,Corvallis,OR,97330,271000,3,2.0,Corvallis,1400,4356,1978,305,194,,Sold,,,http://www.redfin.com/OR/Corvallis/1838-NW-Grant-Cir-97330/home/25914538,WVMLS,716216,N,Y,44.579902,-123.272858
PAST SALE,,Single Family Residential,1375 NW Dream Pl,Corvallis,OR,97330,100000,6,2.0,,3640,6970,2012,,27,,,,,http://www.redfin.com/OR/Corvallis/1375-NW-Dream-Pl-97330/home/25913413,,,N,Y,44.578787,-123.273736
PAST SALE,February-16-2018,Single Family Residential,2332 NW Dixon,Corvallis,OR,97330,231250,3,2.0,Carter Rawie 2nd,1474,9148,1962,58,157,,Sold,,,http://www.redfin.com/OR/Corvallis/2332-NW-Dixon-St-97330/home/25894111,WVMLS,728658,N,Y,44.5915721,-123.2662459
PAST SALE,September-29-2017,Single Family Residential,815 NE Lawndale,Corvallis,OR,97330,270000,3,2.0,Corvallis,1280,13068,1967,198,211,,Sold,,,http://www.redfin.com/OR/Corvallis/815-NW-Lawndale-Pl-97330/home/25930445,WVMLS,723651,N,Y,44.5900903,-123.2486044
PAST SALE,December-5-2017,Single Family Residential,646 NW 19th,Corvallis,OR,97330,187000,3,1.0,Corvallis,1653,5227,1906,131,113,,Sold,,,http://www.redfin.com/OR/Corvallis/646-NW-19th-St-97330/home/25894897,WVMLS,723811,N,Y,44.5740216,-123.2743117
PAST SALE,,Single Family Residential,1820 NW Menlo Dr,Corvallis,OR,97330,251000,3,1.0,,1044,9148,1961,,240,,,,,http://www.redfin.com/OR/Corvallis/1820-NW-Menlo-Dr-97330/home/25929601,,,N,Y,44.5869169,-123.2706098
PAST SALE,October-2-2017,Single Family Residential,2410 NW 13th,Corvallis,OR,97330,350000,3,2.0,Carter Rawie 2nd,1320,9148,1964,195,265,,Sold,,,http://www.redfin.com/OR/Corvallis/2410-NW-13th-St-97330/home/25901692,WVMLS,723786,N,Y,44.5924352,-123.2674662
PAST SALE,May-31-2016,Single Family Residential,410 NW 11th,Corvallis,OR,97330,330000,3,3.0,Hoffmans,2546,5663,1923,684,130,,Sold,,,http://www.redfin.com/OR/Corvallis/410-NW-11th-St-97330/home/25923903,WVMLS,701588,N,Y,44.5697919,-123.2679888
PAST SALE,October-7-2016,Single Family Residential,2035 NW Arthur,Corvallis,OR,97330,200000,2,1.0,Corvallis,1088,3049,1978,555,184,,Sold,,,http://www.redfin.com/OR/Corvallis/2035-NW-Arthur-Pl-97330/home/25921954,WVMLS,711361,N,Y,44.58397,-123.274498
